Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2018*,BYU,Ind,FR,QB,9,120,182,65.9,1578,12,6.6,3,1.6,8.7,9.25,13.2,175.3,157.2,,Zach Wilson
2019*,BYU,Ind,SO,QB,9,199,319,62.4,2382,11,3.4,9,2.8,7.5,6.89,12.0,264.7,130.8,,Zach Wilson
2020*,BYU,Ind,JR,QB,12,247,336,73.5,3692,33,9.8,3,0.9,11.0,12.55,14.9,307.7,196.4,H-8,Zach Wilson
Career,Career,Career,Career,QB,30,566,837,67.6,7652,56,6.7,15,1.8,9.1,9.67,13.5,255.1,162.9,,Zach Wilson
