Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2021*,North Carolina,ACC,FR,QB,4,7,10,70.0,89,1,10.0,0,0.0,8.9,10.9,12.7,22.3,177.8,,Drake Maye
2022*,North Carolina,ACC,FR,QB,14,342,517,66.2,4321,38,7.4,7,1.4,8.4,9.22,12.6,308.6,157.9,H-10,Drake Maye
2023*,North Carolina,ACC,SO,QB,12,269,425,63.3,3608,24,5.6,9,2.1,8.5,8.67,13.4,300.7,149.0,,Drake Maye
Career,Career,Career,Career,QB,30,618,952,64.9,8018,63,6.6,16,1.7,8.4,8.99,13.0,267.3,154.1,,Drake Maye
