Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2017,Pitt,ACC,FR,QB,4,39,66,59.1,509,1,1.5,1,1.5,7.7,7.33,13.1,127.3,125.8,,Kenny Pickett
2018*,Pitt,ACC,SO,QB,14,180,310,58.1,1969,12,3.9,6,1.9,6.4,6.25,10.9,140.6,120.3,,Kenny Pickett
2019*,Pitt,ACC,JR,QB,12,289,469,61.6,3098,13,2.8,9,1.9,6.6,6.3,10.7,258.2,122.4,,Kenny Pickett
2020,Pitt,ACC,SR,QB,9,203,332,61.1,2408,13,3.9,9,2.7,7.3,6.82,11.9,267.6,129.6,,Kenny Pickett
2021*,Pitt,ACC,SR,QB,13,334,497,67.2,4319,42,8.5,7,1.4,8.7,9.75,12.9,332.2,165.3,H-3,Kenny Pickett
Career,Career,Career,Career,QB,52,1045,1674,62.4,12303,81,4.8,32,1.9,7.3,7.46,11.8,236.6,136.3,,Kenny Pickett
