Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2013,California,Pac-12,FR,QB,12,320,531,60.3,3508,18,3.4,10,1.9,6.6,6.44,11.0,292.3,123.2,,Jared Goff
2014,California,Pac-12,SO,QB,12,316,509,62.1,3973,35,6.9,7,1.4,7.8,8.56,12.6,331.1,147.6,,Jared Goff
2015*,California,Pac-12,JR,QB,13,341,529,64.5,4719,43,8.1,13,2.5,8.9,9.44,13.8,363.0,161.3,,Jared Goff
Career,Career,Career,Career,QB,37,977,1569,62.3,12200,96,6.1,30,1.9,7.8,8.14,12.5,329.7,144.0,,Jared Goff
