Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2015*,UCLA,Pac-12,FR,QB,13,292,487,60.0,3670,23,4.7,11,2.3,7.5,7.46,12.6,282.3,134.3,,Josh Rosen
2016,UCLA,Pac-12,SO,QB,6,137,231,59.3,1915,10,4.3,5,2.2,8.3,8.18,14.0,319.2,138.9,,Josh Rosen
2017*,UCLA,Pac-12,JR,QB,11,283,452,62.6,3756,26,5.8,10,2.2,8.3,8.46,13.3,341.5,147.0,,Josh Rosen
Career,Career,Career,Career,QB,30,712,1170,60.9,9341,59,5.0,26,2.2,8.0,7.99,13.1,311.4,140.1,,Josh Rosen
