Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2011*,Louisville,Big East,FR,QB,13,191,296,64.5,2129,14,4.7,12,4.1,7.2,6.31,11.1,163.8,132.4,,Teddy Bridgewater
2012*,Louisville,Big East,SO,QB,13,287,419,68.5,3718,27,6.4,8,1.9,8.9,9.3,13.0,286.0,160.5,,Teddy Bridgewater
2013*,Louisville,American,JR,QB,13,303,427,71.0,3970,31,7.3,4,0.9,9.3,10.33,13.1,305.4,171.1,,Teddy Bridgewater
Career,Career,Career,Career,QB,39,781,1142,68.4,9817,72,6.3,24,2.1,8.6,8.91,12.6,251.7,157.2,,Teddy Bridgewater
