Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2017*,Alabama,SEC,FR,QB,9,49,77,63.6,636,11,14.3,2,2.6,8.3,9.95,13.0,70.7,175.0,,Tua Tagovailoa
2018*,Alabama,SEC,SO,QB,15,245,355,69.0,3966,43,12.1,6,1.7,11.2,12.83,16.2,264.4,199.4,H-2MaxwellAACamp,Tua Tagovailoa
2019*,Alabama,SEC,JR,QB,9,180,252,71.4,2840,33,13.1,3,1.2,11.3,13.35,15.8,315.6,206.9,H-10,Tua Tagovailoa
Career,Career,Career,Career,QB,33,474,684,69.3,7442,87,12.7,11,1.6,10.9,12.7,15.7,225.5,199.4,,Tua Tagovailoa
