Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2016*,Florida,SEC,,QB,1.0,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,Kyle Trask
,,,,QB,,,,,,,,,,,,,,,,Kyle Trask
2018*,Florida,SEC,SO,QB,4.0,14.0,22.0,63.6,162.0,1.0,4.5,0.0,0.0,7.4,8.27,11.6,40.5,140.5,,Kyle Trask
2019*,Florida,SEC,JR,QB,12.0,237.0,354.0,66.9,2941.0,25.0,7.1,7.0,2.0,8.3,8.83,12.4,245.1,156.1,,Kyle Trask
2020*,Florida,SEC,SR,QB,12.0,301.0,437.0,68.9,4283.0,43.0,9.8,8.0,1.8,9.8,10.95,14.2,356.9,180.0,H-4,Kyle Trask
Career,Career,Career,Career,QB,29.0,552.0,813.0,67.9,7386.0,69.0,8.5,15.0,1.8,9.1,9.95,13.4,254.7,168.5,,Kyle Trask
