Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2020*,Ohio State,Big Ten,FR,QB,2,0,0,,0,0,,0,,,,,0.0,,,C.J. Stroud
2021*,Ohio State,Big Ten,FR,QB,12,317,441,71.9,4435,44,10.0,6,1.4,10.1,11.44,14.0,369.6,186.6,H-4,C.J. Stroud
2022*,Ohio State,Big Ten,JR,QB,13,258,389,66.3,3688,41,10.5,6,1.5,9.5,10.89,14.3,283.7,177.7,H-3,C.J. Stroud
Career,Career,Career,Career,QB,27,575,830,69.3,8123,85,10.2,12,1.4,9.8,11.18,14.1,300.9,182.4,,C.J. Stroud
