Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2016*,Ohio State,Big Ten,FR,QB,6.0,22.0,28.0,78.6,226.0,2.0,7.1,0.0,0.0,8.1,9.5,10.3,37.7,169.9,,Joe Burrow
2017*,Ohio State,Big Ten,SO,QB,5.0,7.0,11.0,63.6,61.0,0.0,0.0,0.0,0.0,5.5,5.55,8.7,12.2,110.2,,Joe Burrow
2018*,LSU,SEC,JR,QB,13.0,219.0,379.0,57.8,2894.0,16.0,4.2,5.0,1.3,7.6,7.89,13.2,222.6,133.2,,Joe Burrow
2019*,LSU,SEC,SR,QB,15.0,402.0,527.0,76.3,5671.0,60.0,11.4,6.0,1.1,10.8,12.53,14.1,378.1,202.0,H-1MaxwellAACamp,Joe Burrow
Career,Career,Career,Career,QB,39.0,650.0,945.0,68.8,8852.0,78.0,8.3,11.0,1.2,9.4,10.49,13.6,227.0,172.4,,Joe Burrow
,,,,QB,,,,,,,,,,,,,,,,Joe Burrow
LSU (2 Yrs),LSU (2 Yrs),LSU (2 Yrs),LSU (2 Yrs),QB,28.0,621.0,906.0,68.5,8565.0,76.0,8.4,11.0,1.2,9.5,10.58,13.8,305.9,173.2,,Joe Burrow
Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),QB,11.0,29.0,39.0,74.4,287.0,2.0,5.1,0.0,0.0,7.4,8.38,9.9,26.1,153.1,,Joe Burrow
