Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2017*,Utah State,MWC,FR,QB,12,129,235,54.9,1631,8,3.4,6,2.6,6.9,6.47,12.6,135.9,119.3,,Jordan Love
2018*,Utah State,MWC,SO,QB,13,267,417,64.0,3567,32,7.7,6,1.4,8.6,9.44,13.4,274.4,158.3,,Jordan Love
2019*,Utah State,MWC,JR,QB,13,293,473,61.9,3402,20,4.2,17,3.6,7.2,6.42,11.6,261.7,129.1,,Jordan Love
Career,Career,Career,Career,QB,38,689,1125,61.2,8600,60,5.3,29,2.6,7.6,7.55,12.5,226.3,137.9,,Jordan Love
