Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2019*,Arizona State,Pac-12,FR,QB,12.0,205.0,338.0,60.7,2943.0,17.0,5.0,2.0,0.6,8.7,9.45,14.4,245.3,149.2,,Jayden Daniels
2020,Arizona State,Pac-12,SO,QB,4.0,49.0,84.0,58.3,701.0,5.0,6.0,1.0,1.2,8.3,9.0,14.3,175.3,145.7,,Jayden Daniels
2021*,Arizona State,Pac-12,JR,QB,13.0,197.0,301.0,65.4,2380.0,10.0,3.3,10.0,3.3,7.9,7.08,12.1,183.1,136.2,,Jayden Daniels
2022*,LSU,SEC,SR,QB,14.0,266.0,388.0,68.6,2913.0,17.0,4.4,3.0,0.8,7.5,8.04,11.0,208.1,144.5,,Jayden Daniels
2023*,LSU,SEC,SR,QB,12.0,236.0,327.0,72.2,3812.0,40.0,12.2,4.0,1.2,11.7,13.55,16.2,317.7,208.0,H-1AACamp,Jayden Daniels
Career,Career,Career,Career,QB,55.0,953.0,1438.0,66.3,12749.0,89.0,6.2,20.0,1.4,8.9,9.48,13.4,231.8,158.4,,Jayden Daniels
,,,,QB,,,,,,,,,,,,,,,,Jayden Daniels
Arizona State (3 Yrs),Arizona State (3 Yrs),Arizona State (3 Yrs),Arizona State (3 Yrs),QB,29.0,451.0,723.0,62.4,6024.0,32.0,4.4,13.0,1.8,8.3,8.41,13.4,207.7,143.4,,Jayden Daniels
LSU (2 Yrs),LSU (2 Yrs),LSU (2 Yrs),LSU (2 Yrs),QB,26.0,502.0,715.0,70.2,6725.0,57.0,8.0,7.0,1.0,9.4,10.56,13.4,258.7,173.6,,Jayden Daniels
