Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2013,Memphis,American,FR,QB,12,203,349,58.2,2056,9,2.6,10,2.9,5.9,5.12,10.1,171.3,110.4,,Paxton Lynch
2014*,Memphis,American,SO,QB,13,259,413,62.7,3031,22,5.3,9,2.2,7.3,7.42,11.7,233.2,137.6,,Paxton Lynch
2015*,Memphis,American,JR,QB,13,296,443,66.8,3776,28,6.3,4,0.9,8.5,9.38,12.8,290.5,157.5,,Paxton Lynch
Career,Career,Career,Career,QB,38,758,1205,62.9,8863,59,4.9,23,1.9,7.4,7.48,11.7,233.2,137.0,,Paxton Lynch
