Draft_Year,Player,Pos,wAV,DrAV,G,College_Univ,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G_college,Rec,Yds,Y/R,TD,Y/G,Att,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college
2015,Amari Cooper,WR,66.0,22.0,154.0,Alabama,7.1,6-1,211.0,4.42,33.0,,120.0,6.71,3.98,39.0,228.0,3463.0,15.2,31.0,88.8,6.0,39.0,228.0,3463.0,15.2,31.0,88.8,6.0,39.0,228.0,3463.0,15.2,31.0,88.8,6.0,39.0,228.0,3463.0,15.2,31.0,88.8,6.0,39.0,228.0,3463.0,15.2,31.0,88.8,6.0,39.0,228.0,3463.0,15.2,31.0,88.8,6.0
2015,Kevin White,WR,3.0,2.0,30.0,West Virginia,6.7,6-3,215.0,4.35,36.5,23.0,123.0,6.92,4.14,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0
2015,Kevin White,WR,3.0,2.0,30.0,West Virginia,6.7,5-9,183.0,4.63,35.5,18.0,121.0,,,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0,23.0,144.0,1954.0,13.6,15.0,85.0,0.0
2015,DeVante Parker,WR,36.0,32.0,119.0,Louisville,6.7,6-3,209.0,4.45,36.5,17.0,125.0,,,43.0,156.0,2775.0,17.8,33.0,64.5,0.0,43.0,156.0,2775.0,17.8,33.0,64.5,0.0,43.0,156.0,2775.0,17.8,33.0,64.5,0.0,43.0,156.0,2775.0,17.8,33.0,64.5,0.0,43.0,156.0,2775.0,17.8,33.0,64.5,0.0,43.0,156.0,2775.0,17.8,33.0,64.5,0.0
2015,Nelson Agholor,WR,36.0,18.0,149.0,USC,6.1,6-0,198.0,4.42,,12.0,,,,40.0,178.0,2572.0,14.4,20.0,64.3,7.0,40.0,178.0,2572.0,14.4,20.0,64.3,7.0,40.0,178.0,2572.0,14.4,20.0,64.3,7.0,40.0,178.0,2572.0,14.4,20.0,64.3,7.0,40.0,178.0,2572.0,14.4,20.0,64.3,7.0,40.0,178.0,2572.0,14.4,20.0,64.3,7.0
2015,Breshad Perriman,WR,15.0,4.0,80.0,Central Florida,6.3,6-2,212.0,,,,,,,39.0,115.0,2243.0,19.5,16.0,57.5,1.0,39.0,115.0,2243.0,19.5,16.0,57.5,1.0,39.0,115.0,2243.0,19.5,16.0,57.5,1.0,39.0,115.0,2243.0,19.5,16.0,57.5,1.0,39.0,115.0,2243.0,19.5,16.0,57.5,1.0,39.0,115.0,2243.0,19.5,16.0,57.5,1.0
2015,Phillip Dorsett,WR,16.0,7.0,94.0,Miami (FL),6.2,5-10,185.0,4.33,37.0,13.0,122.0,6.7,4.11,44.0,121.0,2132.0,17.6,17.0,48.5,7.0,44.0,121.0,2132.0,17.6,17.0,48.5,7.0,44.0,121.0,2132.0,17.6,17.0,48.5,7.0,44.0,121.0,2132.0,17.6,17.0,48.5,7.0,44.0,121.0,2132.0,17.6,17.0,48.5,7.0,44.0,121.0,2132.0,17.6,17.0,48.5,7.0
2015,Devin Smith,WR,2.0,1.0,22.0,Ohio St.,6.2,6-0,196.0,4.42,39.0,10.0,122.0,,4.15,54.0,121.0,2503.0,20.7,30.0,46.4,1.0,54.0,121.0,2503.0,20.7,30.0,46.4,1.0,54.0,121.0,2503.0,20.7,30.0,46.4,1.0,54.0,121.0,2503.0,20.7,30.0,46.4,1.0,54.0,121.0,2503.0,20.7,30.0,46.4,1.0,54.0,121.0,2503.0,20.7,30.0,46.4,1.0
2015,Dorial Green-Beckham,WR,7.0,4.0,31.0,Oklahoma,6.2,6-5,237.0,4.49,33.5,13.0,119.0,6.89,4.45,25.0,87.0,1278.0,14.7,17.0,51.1,6.0,25.0,87.0,1278.0,14.7,17.0,51.1,6.0,25.0,87.0,1278.0,14.7,17.0,51.1,6.0,25.0,87.0,1278.0,14.7,17.0,51.1,6.0,25.0,87.0,1278.0,14.7,17.0,51.1,6.0,25.0,87.0,1278.0,14.7,17.0,51.1,6.0
2016,Corey Coleman,WR,6.0,5.0,27.0,Baylor,6.7,5-11,194.0,4.42,40.5,17.0,129.0,,,34.0,173.0,3009.0,17.4,33.0,88.5,33.0,34.0,173.0,3009.0,17.4,33.0,88.5,33.0,34.0,173.0,3009.0,17.4,33.0,88.5,33.0,34.0,173.0,3009.0,17.4,33.0,88.5,33.0,34.0,173.0,3009.0,17.4,33.0,88.5,33.0,34.0,173.0,3009.0,17.4,33.0,88.5,33.0
