Draft_Year,Player,Pos,wAV,DrAV,G,College_Univ,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G_college,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Rate
2021,Trevor Lawrence,QB,39.0,39.0,60.0,Clemson,7.4,6-5,213.0,,,,,,,40.0,758.0,1138.0,66.6,10098.0,90.0,7.9,17.0,1.5,164.3
2021,Zach Wilson,QB,13.0,13.0,34.0,BYU,6.5,6-2,214.0,,,,,,,30.0,566.0,837.0,67.6,7652.0,56.0,6.7,15.0,1.8,162.9
2021,Trey Lance,QB,5.0,4.0,12.0,North Dakota St.,6.47,6-3,224.0,,,,,,,,,,,,,,,,
2021,Justin Fields,QB,39.0,34.0,50.0,Ohio St.,6.45,6-2,227.0,4.45,,,,,,34.0,423.0,618.0,68.4,5701.0,67.0,10.8,9.0,1.5,178.8
2021,Mac Jones,QB,27.0,24.0,52.0,Alabama,6.33,6-2,217.0,4.72,32.0,,116.0,7.04,4.39,39.0,413.0,556.0,74.3,6126.0,56.0,10.1,7.0,1.3,197.6
2021,Kyle Trask,QB,0.0,0.0,7.0,Florida,6.19,6-5,236.0,5.1,31.5,,113.0,7.08,4.6,29.0,552.0,813.0,67.9,7386.0,69.0,8.5,15.0,1.8,168.5
2022,Kenny Pickett,QB,14.0,13.0,30.0,Pittsburgh,6.4,6-3,217.0,4.73,33.5,,121.0,,4.29,52.0,1045.0,1674.0,62.4,12303.0,81.0,4.8,32.0,1.9,136.3
2023,Bryce Young,QB,14.0,14.0,30.0,Alabama,6.82,5-10,204.0,,,,,,,35.0,624.0,949.0,65.8,8356.0,80.0,8.4,12.0,1.3,165.0
2023,C.J. Stroud,QB,24.0,24.0,32.0,Ohio St.,6.7,6-3,214.0,,,,,,,27.0,575.0,830.0,69.3,8123.0,85.0,10.2,12.0,1.4,182.4
2023,Anthony Richardson,QB,9.0,9.0,15.0,Florida,6.4,6-4,244.0,4.43,40.5,,129.0,,,,,,,,,,,,
2023,Will Levis,QB,11.0,11.0,21.0,Kentucky,6.34,6-4,229.0,,34.0,,124.0,,,39.0,479.0,738.0,64.9,5877.0,46.0,6.2,25.0,3.4,145.6
2024,Caleb Williams,QB,12.0,12.0,17.0,USC,6.74,6-1,214.0,,,,,,,37.0,735.0,1099.0,66.9,10082.0,93.0,8.5,14.0,1.3,169.3
2024,Jayden Daniels,QB,20.0,20.0,17.0,LSU,6.73,6-4,210.0,,,,,,,55.0,953.0,1438.0,66.3,12749.0,89.0,6.2,20.0,1.4,158.4
2024,Drake Maye,QB,8.0,8.0,13.0,North Carolina,6.5,6-4,223.0,,,,,,,30.0,618.0,952.0,64.9,8018.0,63.0,6.6,16.0,1.7,154.1
2024,Michael Penix,QB,2.0,2.0,5.0,Washington,6.25,,,,,,,,,48.0,1067.0,1685.0,63.3,13741.0,96.0,5.7,34.0,2.0,146.6
2024,J.J. McCarthy,QB,,,,Michigan,6.4,6-3,219.0,,,,,6.82,4.23,40.0,482.0,713.0,67.6,6226.0,49.0,6.9,11.0,1.5,160.5
2024,Bo Nix,QB,13.0,13.0,17.0,Oregon,6.39,6-2,214.0,,,,,,,61.0,1286.0,1936.0,66.4,15351.0,113.0,5.8,26.0,1.3,149.6
