Draft_Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Receive_Rec,Receive_Yds,Receive_TD,Solo,Int,Sk,College_Univ,College Stats,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
2014,1,20,NOR,Brandin Cooks,WR,20,2024.0,0,0,10,72.0,21.0,158.0,0.0,0.0,0.0,0.0,0.0,58.0,341.0,2.0,710.0,9532.0,60.0,,,,Oregon St.,College Stats,6.3,5-10,189.0,4.33,36.0,16.0,120.0,6.76,3.81
2014,1,21,GNB,Ha Ha Clinton-Dix,DB,21,2021.0,0,1,6,34.0,24.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,16.0,5.5,Alabama,College Stats,6.7,6-1,208.0,4.58,33.0,11.0,119.0,7.16,4.16
2014,1,22,CLE,Johnny Manziel,QB,21,2015.0,0,0,0,4.0,4.0,14.0,147.0,258.0,1675.0,7.0,7.0,46.0,259.0,1.0,0.0,0.0,0.0,,,,Texas A&M,College Stats,6.4,6-0,207.0,4.68,31.5,,113.0,6.75,4.03
2014,1,23,KAN,Dee Ford,LB,23,2021.0,0,1,2,23.0,21.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,,40.0,Auburn,College Stats,5.9,6-2,252.0,,,,,,
2014,1,24,CIN,Darqueze Dennard,DB,22,2021.0,0,0,0,13.0,12.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,4.0,3.0,Michigan St.,College Stats,6.4,5-11,199.0,4.52,,15.0,,,
2014,1,25,SDG,Jason Verrett,DB,23,2023.0,0,1,2,17.0,13.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,7.0,,TCU,College Stats,6.2,5-9,189.0,4.38,39.0,,128.0,6.69,4.0
2014,1,26,PHI,Marcus Smith,LB,22,2018.0,0,0,0,4.0,3.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,6.5,Louisville,College Stats,5.9,6-3,251.0,4.66,35.0,23.0,121.0,7.48,4.47
2014,1,27,ARI,Deone Bucannon,DB,22,2020.0,0,0,4,32.0,29.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,2.0,7.0,Washington St.,College Stats,5.8,6-1,211.0,4.49,36.5,19.0,125.0,6.96,4.26
2014,1,28,CAR,Kelvin Benjamin,WR,23,2018.0,0,0,4,22.0,18.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,3021.0,20.0,,,,Florida St.,College Stats,6.8,6-5,240.0,4.61,32.5,13.0,119.0,7.33,4.39
2014,1,29,NWE,Dominique Easley,DT,22,2018.0,0,0,0,7.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,6.5,Florida,College Stats,5.8,6-2,288.0,4.93,,26.0,,,
