Player,Pos,College Stats URL
KJ Hamler,WR,http://www.sports-reference.com/cfb/players/kj-hamler-1.html
Chase Claypool,WR,http://www.sports-reference.com/cfb/players/chase-claypool-1.html
Van Jefferson,WR,http://www.sports-reference.com/cfb/players/van-jefferson-1.html
Denzel Mims,WR,http://www.sports-reference.com/cfb/players/denzel-mims-1.html
Kyle Pitts,TE,http://www.sports-reference.com/cfb/players/kyle-pitts-1.html
Ja'Marr Chase,WR,http://www.sports-reference.com/cfb/players/jamarr-chase-1.html
Jaylen Waddle,WR,http://www.sports-reference.com/cfb/players/jaylen-waddle-1.html
DeVonta Smith,WR,http://www.sports-reference.com/cfb/players/devonta-smith-1.html
Kadarius Toney,WR,http://www.sports-reference.com/cfb/players/kadarius-toney-1.html
Rashod Bateman,WR,http://www.sports-reference.com/cfb/players/rashod-bateman-1.html
Elijah Moore,WR,http://www.sports-reference.com/cfb/players/elijah-moore-1.html
Rondale Moore,WR,http://www.sports-reference.com/cfb/players/rondale-moore-1.html
Pat Freiermuth,TE,http://www.sports-reference.com/cfb/players/pat-freiermuth-1.html
D'Wayne Eskridge,WR,http://www.sports-reference.com/cfb/players/dwayne-eskridge-1.html
Tutu Atwell,WR,http://www.sports-reference.com/cfb/players/chatarius-atwell-1.html
Terrace Marshall Jr.,WR,http://www.sports-reference.com/cfb/players/terrace-marshall-jr-1.html
Drake London,WR,http://www.sports-reference.com/cfb/players/drake-london-1.html
Garrett Wilson,WR,http://www.sports-reference.com/cfb/players/garrett-wilson-2.html
Chris Olave,WR,http://www.sports-reference.com/cfb/players/chris-olave-1.html
Jameson Williams,WR,http://www.sports-reference.com/cfb/players/jameson-williams-1.html
Jahan Dotson,WR,http://www.sports-reference.com/cfb/players/jahan-dotson-1.html
Treylon Burks,WR,http://www.sports-reference.com/cfb/players/treylon-burks-1.html
Wan'Dale Robinson,WR,http://www.sports-reference.com/cfb/players/wandale-robinson-1.html
John Metchie,WR,http://www.sports-reference.com/cfb/players/john-metchie-1.html
Tyquan Thornton,WR,http://www.sports-reference.com/cfb/players/tyquan-thornton-1.html
George Pickens,WR,http://www.sports-reference.com/cfb/players/george-pickens-1.html
Alec Pierce,WR,http://www.sports-reference.com/cfb/players/alec-pierce-2.html
Skyy Moore,WR,http://www.sports-reference.com/cfb/players/skyy-moore-1.html
Trey McBride,TE,http://www.sports-reference.com/cfb/players/trey-mcbride-1.html
Jaxon Smith-Njigba,WR,http://www.sports-reference.com/cfb/players/jaxon-smith-njigba-1.html
Quentin Johnston,WR,http://www.sports-reference.com/cfb/players/quentin-johnston-1.html
Zay Flowers,WR,http://www.sports-reference.com/cfb/players/zay-flowers-1.html
Jordan Addison,WR,http://www.sports-reference.com/cfb/players/jordan-addison-1.html
Dalton Kincaid,TE,http://www.sports-reference.com/cfb/players/dalton-kincaid-1.html
Sam LaPorta,TE,http://www.sports-reference.com/cfb/players/sam-laporta-1.html
Michael Mayer,TE,http://www.sports-reference.com/cfb/players/michael-mayer-1.html
Jonathan Mingo,WR,http://www.sports-reference.com/cfb/players/jonathan-mingo-1.html
Luke Musgrave,TE,http://www.sports-reference.com/cfb/players/luke-musgrave-1.html
Jayden Reed,WR,http://www.sports-reference.com/cfb/players/jayden-reed-1.html
Rashee Rice,WR,http://www.sports-reference.com/cfb/players/rashee-rice-1.html
Luke Schoonmaker,TE,http://www.sports-reference.com/cfb/players/luke-schoonmaker-1.html
Brenton Strange,TE,http://www.sports-reference.com/cfb/players/brenton-strange-1.html
Marvin Mims,WR,http://www.sports-reference.com/cfb/players/marvin-mims-1.html
Marvin Harrison Jr.,WR,http://www.sports-reference.com/cfb/players/marvin-harrison-jr-1.html
Malik Nabers,WR,http://www.sports-reference.com/cfb/players/malik-nabers-1.html
Rome Odunze,WR,http://www.sports-reference.com/cfb/players/rome-odunze-1.html
Brock Bowers,TE,http://www.sports-reference.com/cfb/players/brock-bowers-1.html
Brian Thomas,WR,http://www.sports-reference.com/cfb/players/brian-thomas-jr-1.html
Xavier Worthy,WR,http://www.sports-reference.com/cfb/players/xavier-worthy-1.html
Ricky Pearsall,WR,http://www.sports-reference.com/cfb/players/ricky-pearsall-1.html
Xavier Legette,WR,http://www.sports-reference.com/cfb/players/xavier-legette-1.html
Keon Coleman,WR,http://www.sports-reference.com/cfb/players/keon-coleman-1.html
Ladd McConkey,WR,http://www.sports-reference.com/cfb/players/ladd-mcconkey-1.html
Ja'Lynn Polk,WR,http://www.sports-reference.com/cfb/players/jalynn-polk-1.html
Adonai Mitchell,WR,http://www.sports-reference.com/cfb/players/adonai-mitchell-1.html
Ben Sinnott,TE,http://www.sports-reference.com/cfb/players/ben-sinnott-1.html
