Player,Pos,College Stats URL
Jordan Phillips,NT,http://www.sports-reference.com/cfb/players/jordan-phillips-1.html
Jake Fisher,T,http://www.sports-reference.com/cfb/players/jake-fisher-1.html
Senquez Golson,CB,http://www.sports-reference.com/cfb/players/senquez-golson-1.html
Rob Havenstein,T,http://www.sports-reference.com/cfb/players/rob-havenstein-1.html
Markus Golden,DE,http://www.sports-reference.com/cfb/players/markus-golden-1.html
Ty Sambrailo,T,http://www.sports-reference.com/cfb/players/ty-sambrailo-1.html
Randy Gregory,OLB,http://www.sports-reference.com/cfb/players/randy-gregory-1.html
Quinten Rollins,CB,http://www.sports-reference.com/cfb/players/quinten-rollins-1.html
Frank Clark,DE,http://www.sports-reference.com/cfb/players/frank-clark-1.html
Jordan Richards,S,http://www.sports-reference.com/cfb/players/jordan-richards-2.html
Joey Bosa,DE,http://www.sports-reference.com/cfb/players/joey-bosa-1.html
Jalen Ramsey,CB,http://www.sports-reference.com/cfb/players/jalen-ramsey-1.html
Ronnie Stanley,T,http://www.sports-reference.com/cfb/players/ronnie-stanley-2.html
DeForest Buckner,DE,http://www.sports-reference.com/cfb/players/deforest-buckner-1.html
Jack Conklin,T,http://www.sports-reference.com/cfb/players/jack-conklin-1.html
Leonard Floyd,OLB,http://www.sports-reference.com/cfb/players/leonard-floyd-1.html
Eli Apple,CB,http://www.sports-reference.com/cfb/players/eli-apple-1.html
Vernon Hargreaves III,CB,http://www.sports-reference.com/cfb/players/vernon-hargreaves-iii-1.html
Sheldon Rankins,DT,http://www.sports-reference.com/cfb/players/sheldon-rankins-1.html
Laremy Tunsil,T,http://www.sports-reference.com/cfb/players/laremy-tunsil-1.html
Karl Joseph,S,http://www.sports-reference.com/cfb/players/karl-joseph-1.html
Taylor Decker,T,http://www.sports-reference.com/cfb/players/taylor-decker-1.html
Keanu Neal,S,http://www.sports-reference.com/cfb/players/keanu-neal-1.html
Ryan Kelly,C,http://www.sports-reference.com/cfb/players/ryan-kelly-1.html
Shaq Lawson,DE,http://www.sports-reference.com/cfb/players/shaq-lawson-1.html
Darron Lee,OLB,http://www.sports-reference.com/cfb/players/darron-lee-1.html
William Jackson III,CB,http://www.sports-reference.com/cfb/players/william-jackson-iii-1.html
Artie Burns,CB,http://www.sports-reference.com/cfb/players/artie-burns-1.html
Kenny Clark,DT,http://www.sports-reference.com/cfb/players/kenneth-clark-1.html
Joshua Garnett,G,http://www.sports-reference.com/cfb/players/joshua-garnett-1.html
Robert Nkemdiche,DT,http://www.sports-reference.com/cfb/players/robert-nkemdiche-1.html
Vernon Butler,DT,http://www.sports-reference.com/cfb/players/vernon-butler-1.html
Germain Ifedi,G,http://www.sports-reference.com/cfb/players/germain-ifedi-1.html
Emmanuel Ogbah,DE,http://www.sports-reference.com/cfb/players/emmanuel-ogbah-1.html
Kevin Dodd,DE,http://www.sports-reference.com/cfb/players/kevin-dodd-1.html
Jaylon Smith,OLB,http://www.sports-reference.com/cfb/players/jaylon-smith-1.html
Myles Jack,OLB,http://www.sports-reference.com/cfb/players/myles-jack-1.html
Chris Jones,DT,http://www.sports-reference.com/cfb/players/chris-jones-8.html
Xavien Howard,CB,http://www.sports-reference.com/cfb/players/xavien-howard-1.html
Noah Spence,DE,http://www.sports-reference.com/cfb/players/noah-spence-1.html
Reggie Ragland,ILB,http://www.sports-reference.com/cfb/players/reggie-ragland-1.html
Kamalei Correa,DE,http://www.sports-reference.com/cfb/players/kamalei-correa-1.html
Austin Johnson,NT,http://www.sports-reference.com/cfb/players/austin-johnson-2.html
Jihad Ward,DE,http://www.sports-reference.com/cfb/players/jihad-ward-1.html
A'Shawn Robinson,DT,http://www.sports-reference.com/cfb/players/ashawn-robinson-1.html
Jason Spriggs,T,http://www.sports-reference.com/cfb/players/jason-spriggs-1.html
Jarran Reed,DT,http://www.sports-reference.com/cfb/players/jarran-reed-1.html
Nick Martin,G,http://www.sports-reference.com/cfb/players/nick-martin-1.html
Deion Jones,OLB,http://www.sports-reference.com/cfb/players/deion-jones-1.html
Su'a Cravens,OLB,http://www.sports-reference.com/cfb/players/sua-cravens-1.html
Mackensie Alexander,CB,http://www.sports-reference.com/cfb/players/mackensie-alexander-1.html
Cody Whitehair,G,http://www.sports-reference.com/cfb/players/cody-whitehair-1.html
T.J. Green,S,http://www.sports-reference.com/cfb/players/tj-green-1.html
Sean Davis,CB,http://www.sports-reference.com/cfb/players/sean-davis-1.html
Roberto Aguayo,K,http://www.sports-reference.com/cfb/players/roberto-aguayo-1.html
Cyrus Jones,CB,http://www.sports-reference.com/cfb/players/cyrus-jones-2.html
Vonn Bell,S,http://www.sports-reference.com/cfb/players/vonn-bell-2.html
James Bradberry,CB,http://www.sports-reference.com/cfb/players/james-bradberry-1.html
Adam Gotsis,DT,http://www.sports-reference.com/cfb/players/adam-gotsis-1.html
Myles Garrett,DE,http://www.sports-reference.com/cfb/players/myles-garrett-1.html
Solomon Thomas,DE,http://www.sports-reference.com/cfb/players/solomon-thomas-2.html
Jamal Adams,S,http://www.sports-reference.com/cfb/players/jamal-adams-1.html
Marshon Lattimore,CB,http://www.sports-reference.com/cfb/players/marshon-lattimore-1.html
Haason Reddick,LB,http://www.sports-reference.com/cfb/players/haason-reddick-1.html
Derek Barnett,DE,http://www.sports-reference.com/cfb/players/derek-barnett-2.html
Malik Hooker,S,http://www.sports-reference.com/cfb/players/malik-hooker-1.html
