Player,Pos,College Stats URL
Nick Bolton,LB,http://www.sports-reference.com/cfb/players/nick-bolton-1.html
Pete Werner,LB,http://www.sports-reference.com/cfb/players/pete-werner-1.html
Boogie Basham,DL,http://www.sports-reference.com/cfb/players/carlos-basham-jr-1.html
Josh Myers,C,http://www.sports-reference.com/cfb/players/josh-myers-1.html
Creed Humphrey,OL,http://www.sports-reference.com/cfb/players/creed-humphrey-1.html
Travon Walker,DE,http://www.sports-reference.com/cfb/players/travon-walker-1.html
Aidan Hutchinson,DE,http://www.sports-reference.com/cfb/players/aidan-hutchinson-1.html
Derek Stingley Jr.,CB,http://www.sports-reference.com/cfb/players/derek-stingley-jr-1.html
Sauce Gardner,CB,http://www.sports-reference.com/cfb/players/ahmad-gardner-1.html
Kayvon Thibodeaux,DE,http://www.sports-reference.com/cfb/players/kayvon-thibodeaux-1.html
Ikem Ekwonu,T,http://www.sports-reference.com/cfb/players/ikem-ekwonu-1.html
Evan Neal,OL,http://www.sports-reference.com/cfb/players/evan-neal-1.html
Charles Cross,OL,http://www.sports-reference.com/cfb/players/charles-cross-1.html
Jordan Davis,DT,http://www.sports-reference.com/cfb/players/jordan-davis-9.html
Kyle Hamilton,S,http://www.sports-reference.com/cfb/players/kyle-hamilton-1.html
Kenyon Green,OL,http://www.sports-reference.com/cfb/players/kenyon-green-1.html
Zion Johnson,G,http://www.sports-reference.com/cfb/players/zion-johnson-1.html
Trent McDuffie,CB,http://www.sports-reference.com/cfb/players/trent-mcduffie-1.html
Quay Walker,LB,http://www.sports-reference.com/cfb/players/quay-walker-1.html
Kaiir Elam,CB,http://www.sports-reference.com/cfb/players/kaiir-elam-1.html
Tyler Smith,OL,http://www.sports-reference.com/cfb/players/tyler-smith-6.html
Tyler Linderbaum,OL,http://www.sports-reference.com/cfb/players/tyler-linderbaum-1.html
Jermaine Johnson II,LB,http://www.sports-reference.com/cfb/players/jermaine-johnson-3.html
Devin Lloyd,LB,http://www.sports-reference.com/cfb/players/devin-lloyd-1.html
Devonte Wyatt,DT,http://www.sports-reference.com/cfb/players/devonte-wyatt-1.html
George Karlaftis III,DE,http://www.sports-reference.com/cfb/players/george-karlaftis-1.html
Daxton Hill,DB,http://www.sports-reference.com/cfb/players/daxton-hill-1.html
Lewis Cine,DB,http://www.sports-reference.com/cfb/players/lewis-cine-1.html
Logan Hall,DE,http://www.sports-reference.com/cfb/players/logan-hall-3.html
Roger McCreary,CB,http://www.sports-reference.com/cfb/players/roger-mccreary-1.html
Jalen Pitre,S,http://www.sports-reference.com/cfb/players/jalen-pitre-1.html
Arnold Ebiketie,DE,http://www.sports-reference.com/cfb/players/arnold-ebiketie-1.html
Kyler Gordon,CB,http://www.sports-reference.com/cfb/players/kyler-gordon-1.html
Boye Mafe,DE,http://www.sports-reference.com/cfb/players/boye-mafe-1.html
Andrew Booth,CB,http://www.sports-reference.com/cfb/players/andrew-booth-jr-1.html
David Ojabo,LB,http://www.sports-reference.com/cfb/players/david-ojabo-1.html
Josh Paschal,DE,http://www.sports-reference.com/cfb/players/joshua-paschal-1.html
Phidarian Mathis,DT,http://www.sports-reference.com/cfb/players/phidarian-mathis-1.html
Jaquan Brisker,S,http://www.sports-reference.com/cfb/players/jaquan-brisker-1.html
Alontae Taylor,DB,http://www.sports-reference.com/cfb/players/alontae-taylor-1.html
Cam Jurgens,OL,http://www.sports-reference.com/cfb/players/cameron-jurgens-1.html
Sam Williams,DE,http://www.sports-reference.com/cfb/players/sam-williams-8.html
Luke Goedeke,OL,http://www.sports-reference.com/cfb/players/luke-goedeke-1.html
Ed Ingram,G,http://www.sports-reference.com/cfb/players/ed-ingram-1.html
Cam Taylor-Britt,CB,http://www.sports-reference.com/cfb/players/cam-taylor-1.html
Drake Jackson,OLB,http://www.sports-reference.com/cfb/players/drake-jackson-2.html
Bryan Cook,S,http://www.sports-reference.com/cfb/players/bryan-cook-2.html
Nik Bonitto,OLB,http://www.sports-reference.com/cfb/players/nik-bonitto-1.html
Will Anderson,LB,http://www.sports-reference.com/cfb/players/will-anderson-jr-1.html
Devon Witherspoon,DB,http://www.sports-reference.com/cfb/players/devon-witherspoon-1.html
Paris Johnson,OL,http://www.sports-reference.com/cfb/players/paris-johnson-jr-1.html
Tyree Wilson,OLB,http://www.sports-reference.com/cfb/players/tyree-wilson-1.html
Jalen Carter,DL,http://www.sports-reference.com/cfb/players/jalen-carter-1.html
Darnell Wright,OL,http://www.sports-reference.com/cfb/players/darnell-wright-1.html
Peter Skoronski,OL,http://www.sports-reference.com/cfb/players/peter-skoronski-1.html
Lukas Van Ness,DL,http://www.sports-reference.com/cfb/players/lukas-van-ness-1.html
Broderick Jones,OL,http://www.sports-reference.com/cfb/players/broderick-jones-1.html
Will McDonald,DE,http://www.sports-reference.com/cfb/players/will-mcdonald-1.html
Emmanuel Forbes,CB,http://www.sports-reference.com/cfb/players/emmanuel-forbes-1.html
Christian Gonzalez,DB,http://www.sports-reference.com/cfb/players/christian-gonzalez-2.html
Jack Campbell,LB,http://www.sports-reference.com/cfb/players/jack-campbell-1.html
Calijah Kancey,DL,http://www.sports-reference.com/cfb/players/calijah-kancey-1.html
Deonte Banks,DB,http://www.sports-reference.com/cfb/players/deonte-banks-1.html
Mazi Smith,DL,http://www.sports-reference.com/cfb/players/mazi-smith-1.html
Anton Harrison,OL,http://www.sports-reference.com/cfb/players/anton-harrison-1.html
Myles Murphy,DE,http://www.sports-reference.com/cfb/players/myles-murphy-1.html
Bryan Bresee,DT,http://www.sports-reference.com/cfb/players/bryan-bresee-1.html
Nolan Smith,OLB,http://www.sports-reference.com/cfb/players/nolan-smith-1.html
Felix Anudike-Uzomah,DE,http://www.sports-reference.com/cfb/players/felix-anudike-uzomah-1.html
Joey Porter Jr.,CB,http://www.sports-reference.com/cfb/players/joey-porter-jr-1.html
Steve Avila,C,http://www.sports-reference.com/cfb/players/esteban-avila-1.html
Derick Hall,DE,http://www.sports-reference.com/cfb/players/derick-hall-1.html
Matthew Bergeron,OL,http://www.sports-reference.com/cfb/players/matthew-bergeron-2.html
Isaiah Foskey,DL,http://www.sports-reference.com/cfb/players/isaiah-foskey-1.html
BJ Ojulari,DE,http://www.sports-reference.com/cfb/players/bj-ojulari-1.html
Joe Tippmann,OL,http://www.sports-reference.com/cfb/players/joe-tippmann-1.html
Julius Brents,DB,http://www.sports-reference.com/cfb/players/julius-brents-1.html
Brian Branch,DB,http://www.sports-reference.com/cfb/players/brian-branch-1.html
Keion White,DL,http://www.sports-reference.com/cfb/players/keion-white-1.html
Quan Martin,DB,http://www.sports-reference.com/cfb/players/jartavius-martin-1.html
Keeanu Benton,NT,http://www.sports-reference.com/cfb/players/keeanu-benton-1.html
Cam Smith,DB,http://www.sports-reference.com/cfb/players/cam-smith-3.html
Gervon Dexter,DL,http://www.sports-reference.com/cfb/players/gervon-dexter-1.html
Tuli Tuipulotu,DL,http://www.sports-reference.com/cfb/players/tuli-tuipulotu-1.html
Tyrique Stevenson,CB,http://www.sports-reference.com/cfb/players/tyrique-stevenson-1.html
John Michael Schmitz,OL,http://www.sports-reference.com/cfb/players/john-michael-schmitz-1.html
O'Cyrus Torrence,OL,http://www.sports-reference.com/cfb/players/ocyrus-torrence-1.html
DJ Turner,DB,http://www.sports-reference.com/cfb/players/dj-turner-3.html
Juice Scruggs,OL,http://www.sports-reference.com/cfb/players/juice-scruggs-1.html
Joe Alt,OL,http://www.sports-reference.com/cfb/players/joe-alt-1.html
JC Latham,OL,http://www.sports-reference.com/cfb/players/jc-latham-1.html
Olumuyiwa Fashanu,OL,http://www.sports-reference.com/cfb/players/olu-fashanu-1.html
Taliese Fuaga,OL,http://www.sports-reference.com/cfb/players/taliese-fuaga-1.html
Laiatu Latu,DL,http://www.sports-reference.com/cfb/players/laiatu-latu-1.html
Byron Murphy,DL,http://www.sports-reference.com/cfb/players/byron-murphy-ii-1.html
Dallas Turner,LB,http://www.sports-reference.com/cfb/players/dallas-turner-1.html
Amarius Mims,OL,http://www.sports-reference.com/cfb/players/amarius-mims-1.html
Jared Verse,DL,http://www.sports-reference.com/cfb/players/jared-verse-1.html
Troy Fautanu,OL,http://www.sports-reference.com/cfb/players/troy-fautanu-1.html
Chop Robinson,DE,http://www.sports-reference.com/cfb/players/demeioun-robinson-1.html
Quinyon Mitchell,CB,http://www.sports-reference.com/cfb/players/quinyon-mitchell-1.html
Terrion Arnold,DB,http://www.sports-reference.com/cfb/players/terrion-arnold-1.html
Jordan Morgan,OL,http://www.sports-reference.com/cfb/players/jordan-morgan-3.html
Graham Barton,OL,http://www.sports-reference.com/cfb/players/graham-barton-1.html
Darius Robinson,DL,http://www.sports-reference.com/cfb/players/darius-robinson-2.html
Tyler Guyton,OL,http://www.sports-reference.com/cfb/players/tyler-guyton-1.html
Nate Wiggins,CB,http://www.sports-reference.com/cfb/players/nate-wiggins-1.html
Ruke Orhorhoro,DT,http://www.sports-reference.com/cfb/players/ruke-orhorhoro-1.html
Jer'Zhan Newton,DL,http://www.sports-reference.com/cfb/players/jerzhan-newton-1.html
T'Vondre Sweat,DL,http://www.sports-reference.com/cfb/players/tvondre-sweat-1.html
Braden Fiske,DL,http://www.sports-reference.com/cfb/players/braden-fiske-1.html
Cooper DeJean,DB,http://www.sports-reference.com/cfb/players/cooper-dejean-1.html
Kool-Aid McKinstry,DB,http://www.sports-reference.com/cfb/players/kool-aid-mckinstry-1.html
Kamari Lassiter,DB,http://www.sports-reference.com/cfb/players/kamari-lassiter-1.html
Max Melton,DB,http://www.sports-reference.com/cfb/players/max-melton-1.html
Jackson Powers-Johnson,OL,http://www.sports-reference.com/cfb/players/jackson-powers-johnson-1.html
Edgerrin Cooper,LB,http://www.sports-reference.com/cfb/players/edgerrin-cooper-1.html
Tyler Nubin,DB,http://www.sports-reference.com/cfb/players/tyler-nubin-1.html
Maason Smith,DT,http://www.sports-reference.com/cfb/players/maason-smith-1.html
Kris Jenkins,DL,http://www.sports-reference.com/cfb/players/kris-jenkins-1.html
Mike Sainristil,DB,http://www.sports-reference.com/cfb/players/mike-sainristil-1.html
Zach Frazier,OL,http://www.sports-reference.com/cfb/players/zach-frazier-1.html
Michael Hall,DT,http://www.sports-reference.com/cfb/players/michael-hall-jr-1.html
Patrick Paul,OL,http://www.sports-reference.com/cfb/players/patrick-paul-1.html
Marshawn Kneeland,DL,http://www.sports-reference.com/cfb/players/marshawn-kneeland-1.html
Chris Braswell,LB,http://www.sports-reference.com/cfb/players/chris-braswell-1.html
Javon Bullard,DB,http://www.sports-reference.com/cfb/players/javon-bullard-1.html
Blake Fisher,OL,http://www.sports-reference.com/cfb/players/blake-fisher-1.html
Cole Bishop,SAF,http://www.sports-reference.com/cfb/players/cole-bishop-1.html
Ennis Rakestraw,DB,http://www.sports-reference.com/cfb/players/ennis-rakestraw-jr-1.html
Roger Rosengarten,OL,http://www.sports-reference.com/cfb/players/roger-rosengarten-1.html
Kingsley Suamataia,OL,http://www.sports-reference.com/cfb/players/kingsley-suamataia-1.html
