Draft_Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Receive_Rec,Receive_Yds,Receive_TD,Solo,Int,Sk,College_Univ,College Stats,Prospect_Grade,College Stats URL,,
2014,1,27,ARI,Deone Bucannon,DB,22,2020,0,0,4,32,29,84,0,0,0,0,0,0,0,0,0,0,0,329,2,7,Washington St.,College Stats,5.8,http://www.sports-reference.com/cfb/players/deone-bucannon-1.html,,
2014,1,28,CAR,Kelvin Benjamin,WR,23,2018,0,0,4,22,18,61,0,0,0,0,0,0,0,0,209,3021,20,,,,Florida St.,College Stats,6.8,http://www.sports-reference.com/cfb/players/kelvin-benjamin-1.html,,
2014,1,29,NWE,Dominique Easley,DT,22,2018,0,0,0,7,4,41,0,0,0,0,0,0,0,0,0,0,0,44,1,6.5,Florida,College Stats,5.8,http://www.sports-reference.com/cfb/players/dominique-easley-1.html,,
2014,1,30,SFO,Jimmie Ward,DB,23,2024,0,0,6,31,25,126,0,0,0,0,0,0,0,0,0,0,0,406,10,3,Northern Illinois,College Stats,5.6,http://www.sports-reference.com/cfb/players/jimmie-ward-1.html,,
2014,1,31,DEN,Bradley Roby,DB,22,2023,0,0,4,26,14,135,0,0,0,0,0,0,0,0,0,0,0,346,11,5,Ohio St.,College Stats,6.7,http://www.sports-reference.com/cfb/players/bradley-roby-1.html,,
2014,1,32,MIN,Teddy Bridgewater,QB,21,2024,0,1,4,49,22,79,1372,2067,15120,75,47,221,844,11,0,0,0,,,,Louisville,College Stats,6.8,http://www.sports-reference.com/cfb/players/teddy-bridgewater-1.html,,
2014,2,33,HOU,Xavier Su'a-Filo,G,23,2021,0,0,3,24,17,83,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,6.2,http://www.sports-reference.com/cfb/players/xavier-sua-filo-1.html,,
2014,2,34,DAL,DeMarcus Lawrence,DE,22,2024,0,4,7,68,68,141,0,0,0,0,0,0,0,0,0,0,0,285,2,61.5,Boise St.,College Stats,6.7,http://www.sports-reference.com/cfb/players/demarcus-lawrence-1.html,,
2014,2,35,CLE,Joel Bitonio,G,22,2024,2,7,10,73,73,161,0,0,0,0,0,0,0,0,0,0,0,3,,,Nevada,College Stats,6.1,http://www.sports-reference.com/cfb/players/joel-bitonio-1.html,,
2014,2,36,OAK,Derek Carr,QB,23,2024,0,4,11,93,80,169,3765,5785,41245,257,112,327,956,7,1,-9,0,,,,Fresno St.,College Stats,6.3,http://www.sports-reference.com/cfb/players/derek-carr-1.html,,
2014,2,37,ATL,Ra'Shede Hageman,DT,24,2016,0,0,1,8,8,44,0,0,0,0,0,0,0,0,0,0,0,41,,4,Minnesota,College Stats,6.7,http://www.sports-reference.com/cfb/players/rashede-hageman-1.html,,
2014,2,38,TAM,Austin Seferian-Jenkins,TE,21,2018,0,0,2,9,5,43,0,0,0,0,0,0,0,0,116,1160,11,,,,Washington,College Stats,6.1,http://www.sports-reference.com/cfb/players/austin-seferian-jenkins-1.html,,
2014,2,39,JAX,Marqise Lee,WR,22,2019,0,0,2,17,17,59,1,2,20,1,0,16,100,0,174,2184,8,,,,USC,College Stats,6.7,http://www.sports-reference.com/cfb/players/marqise-lee-1.html,,
2014,2,40,DET,Kyle Van Noy,LB,23,2024,0,1,7,58,4,158,0,0,0,0,0,0,0,0,0,0,0,363,3,55,BYU,College Stats,6.1,http://www.sports-reference.com/cfb/players/kyle-van-noy-1.html,,
2014,2,41,STL,Lamarcus Joyner,DB,23,2022,0,0,4,26,15,110,0,0,0,0,0,0,0,0,0,0,0,361,7,5,Florida St.,College Stats,5.8,http://www.sports-reference.com/cfb/players/lamarcus-joyner-1.html,,
2014,2,42,PHI,Jordan Matthews,WR,22,2024,0,0,3,23,21,81,0,0,0,0,0,0,0,0,274,3288,22,,,,Vanderbilt,College Stats,6.1,http://www.sports-reference.com/cfb/players/jordan-matthews-1.html,,
2014,2,43,NYG,Weston Richburg,OL,23,2019,0,0,5,33,21,79,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado St.,College Stats,5.8,http://www.sports-reference.com/cfb/players/weston-richburg-1.html,,
2014,2,44,BUF,Cyrus Kouandjio,T,21,2018,0,0,0,6,5,30,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,6.2,http://www.sports-reference.com/cfb/players/cyrus-kouandjio-1.html,,
2014,2,45,SEA,Paul Richardson,WR,22,2019,0,0,3,14,11,64,0,0,0,0,0,4,14,0,143,1809,12,2,,,Colorado,College Stats,5.8,http://www.sports-reference.com/cfb/players/paul-richardson-1.html,,
2014,2,46,PIT,Stephon Tuitt,DE,21,2020,0,0,6,38,38,91,0,0,0,0,0,0,0,0,0,0,0,176,1,34.5,Notre Dame,College Stats,6.8,http://www.sports-reference.com/cfb/players/stephon-tuitt-1.html,,
2014,2,47,WAS,Trent Murphy,LB,23,2020,0,0,4,33,11,86,0,0,0,0,0,0,0,0,0,0,0,117,1,26,Stanford,College Stats,6.2,http://www.sports-reference.com/cfb/players/trent-murphy-1.html,,
2014,2,48,BAL,Timmy Jernigan,DT,21,2020,0,0,4,25,14,76,0,0,0,0,0,0,0,0,0,0,0,70,1,17.5,Florida St.,College Stats,6.1,http://www.sports-reference.com/cfb/players/timmy-jernigan-1.html,,
2014,2,49,NYJ,Jace Amaro,TE,22,2016,0,0,0,4,3,17,0,0,0,0,0,0,0,0,41,404,2,,,,Texas Tech,College Stats,5.9,http://www.sports-reference.com/cfb/players/jace-amaro-1.html,,
2014,2,50,SDG,Jeremiah Attaochu,LB,21,2022,0,0,1,15,8,82,0,0,0,0,0,0,0,0,0,0,0,116,,20.5,Georgia Tech,College Stats,6.1,http://www.sports-reference.com/cfb/players/jeremiah-attaochu-1.html,,
2014,2,51,CHI,Ego Ferguson,DT,22,2015,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,2,LSU,College Stats,6.1,http://www.sports-reference.com/cfb/players/ego-ferguson-1.html,,
2014,2,52,ARI,Troy Niklas,TE,21,2017,0,0,1,1,1,41,0,0,0,0,0,0,0,0,19,203,3,7,,,Notre Dame,College Stats,6.2,http://www.sports-reference.com/cfb/players/troy-niklas-1.html,,
2014,2,53,GNB,Davante Adams,WR,21,2024,3,6,10,89,60,164,0,0,0,0,0,3,-1,0,957,11844,103,2,,,Fresno St.,College Stats,6.4,http://www.sports-reference.com/cfb/players/davante-adams-1.html,,
2014,2,54,TEN,Bishop Sankey,RB,21,2015,0,0,1,6,6,29,0,0,0,0,0,199,762,3,32,272,1,,,,Washington,College Stats,5.8,http://www.sports-reference.com/cfb/players/bishop-sankey-1.html,,
2014,2,55,CIN,Jeremy Hill,RB,21,2018,0,0,3,21,21,55,0,0,0,0,0,708,2898,29,68,490,1,,,,LSU,College Stats,6.3,http://www.sports-reference.com/cfb/players/jeremy-hill-2.html,,
2014,2,56,DEN,Cody Latimer,WR,21,2019,0,0,1,6,3,66,0,0,0,0,0,2,1,0,70,935,6,14,,,Indiana,College Stats,5.8,http://www.sports-reference.com/cfb/players/cody-latimer-1.html,,
2014,2,57,SFO,Carlos Hyde,RB,23,2021,0,0,4,32,18,102,0,0,0,0,0,1225,4979,37,157,867,3,,,,Ohio St.,College Stats,6.7,http://www.sports-reference.com/cfb/players/carlos-hyde-1.html,,
2014,2,58,NOR,Stanley Jean-Baptiste,DB,24,2017,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,Nebraska,College Stats,5.8,http://www.sports-reference.com/cfb/players/stanley-jean-baptiste-1.html,,
2014,2,59,IND,Jack Mewhort,T,23,2017,0,0,4,22,22,45,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,6.1,http://www.sports-reference.com/cfb/players/jack-mewhort-1.html,,
2014,2,60,CAR,Kony Ealy,DE,22,2018,0,0,0,12,10,65,0,0,0,0,0,0,0,0,0,0,0,53,2,15,Missouri,College Stats,6.2,http://www.sports-reference.com/cfb/players/kony-ealy-1.html,,
2014,2,61,JAX,Allen Robinson,WR,21,2024,0,1,8,48,18,139,0,0,0,0,0,3,10,0,565,7058,43,2,,,Penn St.,College Stats,6.2,http://www.sports-reference.com/cfb/players/allen-robinson-1.html,,
2014,2,62,NWE,Jimmy Garoppolo,QB,22,2024,0,0,3,47,2,82,1304,1936,15828,96,52,187,269,7,2,-3,0,,,,Eastern Illinois,,5.9,,,
2014,2,63,MIA,Jarvis Landry,WR,21,2022,0,5,8,56,28,132,6,9,146,1,0,40,239,5,713,7870,38,7,,,LSU,College Stats,6.1,http://www.sports-reference.com/cfb/players/jarvis-landry-1.html,,
2014,2,64,SEA,Justin Britt,T,23,2022,0,0,7,41,39,99,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats,5.6,http://www.sports-reference.com/cfb/players/justin-britt-2.html,,
2015,1,1,TAM,Jameis Winston,QB,21,2024,0,1,5,62,54,105,1944,3178,24225,154,111,323,1297,12,0,0,0,,,,Florida St.,College Stats,7,http://www.sports-reference.com/cfb/players/jameis-winston-1.html,,
2015,1,2,TEN,Marcus Mariota,QB,21,2024,0,0,5,56,43,93,1361,2162,16184,97,55,375,2156,18,2,62,1,1,,,Oregon,College Stats,6.8,http://www.sports-reference.com/cfb/players/marcus-mariota-1.html,,
2015,1,3,JAX,Dante Fowler,OLB,21,2024,0,0,2,29,5,142,0,0,0,0,0,0,0,0,0,0,0,192,1,55.5,Florida,College Stats,6.8,http://www.sports-reference.com/cfb/players/dante-fowler-jr-1.html,,
2015,1,4,OAK,Amari Cooper,WR,21,2024,0,5,9,66,22,154,0,1,0,0,1,14,41,0,711,10033,64,2,,,Alabama,College Stats,7.1,http://www.sports-reference.com/cfb/players/amari-cooper-1.html,,
2015,1,5,WAS,Brandon Scherff,T,23,2024,1,5,10,62,45,140,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa,College Stats,6.8,http://www.sports-reference.com/cfb/players/brandon-scherff-1.html,,
2015,1,6,NYJ,Leonard Williams,DE,21,2024,0,2,9,66,28,158,0,0,0,0,0,0,0,0,0,0,0,298,2,54.5,USC,College Stats,7.4,http://www.sports-reference.com/cfb/players/leonard-williams-1.html,,
2015,1,7,CHI,Kevin White,WR,23,2022,0,0,0,3,2,30,0,0,0,0,0,1,9,0,28,397,0,2,,,West Virginia,College Stats,6.7,http://www.sports-reference.com/cfb/players/kevin-white-6.html,,
2015,1,8,ATL,Vic Beasley,OLB,23,2020,1,1,5,32,32,88,0,0,0,0,0,0,0,0,0,0,0,122,1,37.5,Clemson,College Stats,6.7,http://www.sports-reference.com/cfb/players/vic-beasley-1.html,,
2015,1,9,NYG,Ereck Flowers,T,21,2021,0,0,7,35,18,105,0,0,0,0,0,0,0,0,1,-11,0,,,,Miami (FL),College Stats,6.4,http://www.sports-reference.com/cfb/players/ereck-flowers-1.html,,
2015,1,10,STL,Todd Gurley,RB,21,2020,2,3,6,54,50,88,0,0,0,0,0,1460,6082,67,243,2254,12,,,,Georgia,College Stats,6.8,http://www.sports-reference.com/cfb/players/todd-gurley-1.html,,
2015,1,11,MIN,Trae Waynes,CB,23,2021,0,0,3,18,18,79,0,0,0,0,0,0,0,0,0,0,0,226,7,1,Michigan St.,College Stats,6.7,http://www.sports-reference.com/cfb/players/trae-waynes-1.html,,
2015,1,12,CLE,Danny Shelton,NT,22,2022,0,0,5,33,15,101,0,0,0,0,0,0,0,0,0,0,0,138,,6,Washington,College Stats,6.8,http://www.sports-reference.com/cfb/players/danny-shelton-1.html,,
2015,1,13,NOR,Andrus Peat,T,21,2024,0,3,7,53,52,126,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats,6.7,http://www.sports-reference.com/cfb/players/andrus-peat-1.html,,
2015,1,14,MIA,DeVante Parker,WR,22,2023,0,0,6,36,32,119,0,0,0,0,0,0,0,0,402,5660,27,3,,,Louisville,College Stats,6.7,http://www.sports-reference.com/cfb/players/devante-parker-1.html,,
2015,1,15,SDG,Melvin Gordon,RB,22,2023,0,2,7,51,38,112,0,0,0,0,0,1593,6543,56,312,2513,14,,,,Wisconsin,College Stats,6.8,http://www.sports-reference.com/cfb/players/melvin-gordon-1.html,,
2015,1,16,HOU,Kevin Johnson,CB,23,2020,0,0,0,11,8,64,0,0,0,0,0,0,0,0,0,0,0,153,1,1.5,Wake Forest,College Stats,6.3,http://www.sports-reference.com/cfb/players/kevin-johnson-7.html,,
2015,1,17,SFO,Arik Armstead,DT,21,2024,0,0,6,41,41,133,0,0,0,0,0,0,0,0,0,0,0,198,,35.5,Oregon,College Stats,6.8,http://www.sports-reference.com/cfb/players/arik-armstead-1.html,,
2015,1,18,KAN,Marcus Peters,CB,22,2023,2,3,7,63,32,116,0,0,0,0,0,0,0,0,0,0,0,312,33,2,Washington,College Stats,6.2,http://www.sports-reference.com/cfb/players/marcus-peters-1.html,,
2015,1,19,CLE,Cameron Erving,C,23,2023,0,0,3,28,6,98,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats,6.2,http://www.sports-reference.com/cfb/players/cameron-erving-1.html,,
2015,1,20,PHI,Nelson Agholor,WR,22,2024,0,0,7,36,18,149,1,1,15,0,0,14,71,0,389,4858,37,1,,,USC,College Stats,6.1,http://www.sports-reference.com/cfb/players/nelson-agholor-1.html,,
2015,1,21,CIN,Cedric Ogbuehi,T,23,2022,0,0,2,17,11,67,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,6.4,http://www.sports-reference.com/cfb/players/cedric-ogbuehi-1.html,,
2015,1,22,PIT,Bud Dupree,OLB,22,2024,0,0,6,44,30,136,0,0,0,0,0,0,0,0,0,0,0,231,2,59,Kentucky,College Stats,6.4,http://www.sports-reference.com/cfb/players/alvin-dupree-1.html,,
2015,1,23,DEN,Shane Ray,DE,22,2018,0,0,1,12,12,49,0,0,0,0,0,0,0,0,0,0,0,64,,14,Missouri,College Stats,7,http://www.sports-reference.com/cfb/players/shane-ray-1.html,,
2015,1,24,ARI,D.J. Humphries,T,21,2024,0,1,7,45,44,100,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats,6.3,http://www.sports-reference.com/cfb/players/dj-humphries-1.html,,
